match_id,time_stamp,title,tour,round,surface,player1_H2H,player1_odds,player1_latest_win,player2_H2H,player2_odds,player2_latest_win,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_elo,predict,strong_predict
2261055,2023-01-03-19-00,Monastir 17 ITF,wta,1. round,hard,0,5.67,5,0,1.12,8,Nagi Hanatani,Japan,-,-,27,422,356,27,34,16,20,219,254,147,167,0,1099,Iryna Shymanovich,Belarus,-,-,25,245,245,27,14,3,4,192,76,81,28,0,1452,2,False
2259439,2023-01-03-19-55,United Cup,atp,-,hard,0,1.42,4,0,3.09,8,Adrian Mannarino,France,180,79,34,46,22,1,0,1,0,645,505,263,178,1.21,1745,Borna Gojo,Croatia,196,90,24,144,144,1,0,1,0,187,134,95,56,1.34,1629,2,False
2260407,2023-01-03-20-10,Oeiras 5 challenger,atp,1. round,indoors,0,1.49,3,0,2.66,3,Valentin Vacherot,Monaco,-,-,24,290,261,48,22,1,2,153,81,6,11,0,1374,Joao Domingues,Portugal,178,70,29,287,150,25,28,0,2,382,278,0,4,0,1305,2,False
2261043,2023-01-03-20-30,Monastir 17 ITF,wta,1. round,hard,0,1.08,6,0,7.05,1,Oceane Dodin,France,183,59,26,121,46,28,35,4,11,352,232,88,63,0,1546,Alice Rame,France,-,-,25,461,339,33,34,8,7,243,177,50,32,0,1242,1,False
2261089,2023-01-03-22-05,Tigre challenger,atp,Qualification - round of 16,clay,0,1.43,5,0,2.62,6,Carlos Sanchez Jover,Spain,-,-,22,419,366,1,0,1,0,188,126,171,104,1.08,1361,Huertas Del Pino,Peru,-,-,28,490,453,1,0,1,0,142,97,118,79,2.2,1296,2,False
2260413,2023-01-03-22-10,Oeiras 5 challenger,atp,1. round,indoors,0,1.81,4,0,2.02,6,Lorenzo Giustino,Italy,180,83,31,281,127,26,37,0,5,610,486,41,48,0,1360,Pol Martin Tiffon,Spain,183,73,23,293,235,41,20,0,0,212,136,0,0,0,1323,2,False
2260397,2023-01-03-22-10,Oeiras 5 challenger,atp,1. round,indoors,0,1.85,6,0,1.97,5,Elmar Ejupovic,Germany,193,90,29,326,291,46,28,10,7,345,234,144,84,0,1311,Pedro Sousa,Portugal,180,70,34,494,99,17,17,0,0,556,346,2,2,0,1448,2,False
2260403,2023-01-03-23-40,Oeiras 5 challenger,atp,1. round,indoors,0,2.00,5,0,1.83,6,Goncalo Oliveira,Portugal,185,79,27,507,194,20,27,3,3,414,389,26,42,0,1314,Louis Wessels,Germany,198,90,24,309,267,52,36,0,2,237,170,33,34,0,1262,2,False
2261081,2023-01-03-23-40,Oeiras 5 challenger,atp,1. round,indoors,0,3.85,4,0,1.27,7,Edan Leshem,Israel,183,70,25,379,249,1,1,1,1,316,211,28,38,0.35,1382,Alibek Kachmazov,Russia,-,-,20,336,316,2,0,2,0,106,64,54,16,1.79,1314,1,True
2261077,2023-01-03-23-40,Oeiras 5 challenger,atp,1. round,indoors,0,1.38,6,0,3.08,7,Joris De Loore,Belgium,191,86,29,341,174,2,0,2,0,395,192,67,42,1.52,1392,Aziz Dougaz,Tunisia,188,80,25,273,273,69,36,8,6,311,202,10,9,0,1351,1,False
