match_id,time_stamp,title,tour,round,surface,winner,player1_H2H,prediction_roi,player1_odds,player1_latest_win,player2_H2H,player2_odds,player2_latest_win,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_elo,predict,strong_predict
2242379,2022-11-17-18-00,Sharm El Sheikh 20 ITF,wta,round of 16,hard,1,0,-1,1.55,5,0,2.28,7,Nina Stojanovic,Serbia,176,63,26,637,81,4,3,4,3,241,167,135,85,-1.34,-,Yuliya Hatouka,Belarus,-,-,22,282,180,27,23,11,9,190,102,101,52,0.45,1395,2,False
2242329,2022-11-17-19-00,Nules ITF,wta,round of 16,clay,1,0,0.29,1.29,6,0,3.38,7,Alessandra Mazzola,Italy,-,-,22,997,980,23,11,22,7,40,36,35,26,3.38,-,Yu Chen,China,-,-,22,-,-,10,8,5,1,23,20,7,5,-0.88,-,1,False
2241693,2022-11-17-19-00,Funchal ITF,wta,round of 16,hard,1,0,0.5,1.5,7,0,2.48,6,Ashley Lahey,USA,-,-,23,423,416,39,26,34,15,92,63,65,41,8.44,-,Kajsa Rinaldo Persson,Sweden,-,-,25,479,479,36,18,1,1,169,118,57,42,2.88,-,1,False
2242491,2022-11-17-19-30,Nairobi 2 ITF,wta,round of 16,clay,1,0,0.67,1.67,4,0,2.12,4,Angella Okutoyi,Kenya,-,-,18,-,-,4,6,2,1,8,13,2,1,-1.86,-,Sevil Yuldasheva,Uzbekistan,-,-,20,1156,847,39,34,25,15,58,79,39,42,-12.07,-,1,False
2242035,2022-11-17-19-30,St. Etienne ITF,wta,round of 16,indoors,1,0,-1,1.99,4,0,1.69,3,Conny Perrin,Switzerland,-,-,31,413,134,27,31,4,5,543,415,64,52,-20.65,1276,(1996) Makarova Ekaterina,Russia,-,-,26,258,241,37,28,4,7,156,114,23,23,6.73,-,2,False
2242475,2022-11-17-19-30,Sharm El Sheikh 20 ITF,wta,round of 16,hard,2,0,0.12,5.15,4,0,1.12,7,Giulia Gatto-Monticone,Italy,167,66,34,440,148,16,22,7,7,634,454,115,71,-13.3,-,Petra Marcinko,Croatia,-,-,16,194,194,34,12,1,1,46,18,7,4,6.57,1532,2,False
2242389,2022-11-17-19-30,Heraklion 10 ITF,wta,round of 16,clay,2,0,-1,1.2,7,1,3.82,7,Carlota Martinez Cirez,Spain,-,-,21,308,308,40,21,40,21,111,71,110,70,13.45,-,Gabriela Vasilescu Arina,Romania,-,-,25,556,556,49,34,20,16,217,167,134,97,-12.28,-,1,False
2242527,2022-11-17-20-00,Nules ITF,wta,round of 16,clay,2,0,-1,3.09,7,1,1.32,8,Chantal Sauvant,Germany,-,-,20,555,555,55,20,46,16,109,86,90,69,10.52,-,Alina Charaeva,Russia,-,-,20,883,317,8,3,6,0,71,37,35,16,2.44,-,1,False
2241641,2022-11-17-20-00,Bratislava 6 ITF,wta,round of 16,indoors,1,2,-1,1.2,5,0,4.2,6,Daria Snigur,Ukraine,-,-,20,105,105,34,23,13,7,126,62,28,16,-2.95,1537,Maia Lumsden,Great Britain,-,-,24,491,250,20,14,11,5,156,116,81,44,-1.19,-,2,False
2242429,2022-11-17-20-30,Helsinki ITF,wta,quarterfinal,indoors,2,0,1.02,1.74,6,0,2.02,7,Dalila Jakupovic,Slovenia,178,70,31,256,69,58,27,4,1,460,386,47,49,-3.58,1460,Taylor Ng,USA,-,-,27,421,411,39,25,5,2,95,58,11,5,-0.86,-,2,False
